Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Just Dance Wii,Wii,2011,Misc,Nintendo,0,0,0.73,0,0.73,,,,,,
DanceStar Party,PS3,2011,Misc,Sony Computer Entertainment,0,0.34,0,0.1,0.43,,,,,,
"Barbie: Jet, Set & Style!",DS,2011,Misc,THQ,0.34,0.05,0,0.03,0.42,,,,,,
AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,Namco Bandai Games,0,0,0.4,0,0.4,,,,,,
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games,0,0,0.39,0,0.39,,,,,,
Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games,0,0,0.38,0,0.38,,,,,,
Kinectimals: Now with Bears!,X360,2011,Misc,Microsoft Game Studios,0.27,0.06,0,0.03,0.35,,,,,,
Hatsune Miku: Project Diva Extend,PSP,2011,Misc,Sega,0,0,0.33,0,0.33,,,,,,
We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0,0.29,0,0.04,0.33,,,,,,
"Carnival Games: Monkey See, Monkey Do!",X360,2011,Misc,Take-Two Interactive,0.14,0.15,0,0.03,0.32,,,,,,
Peppa Pig: Theme Park Fun,DS,2011,Misc,P2 Games,0,0.27,0,0.04,0.31,,,,,,
Rabbids: Alive & Kicking,X360,2011,Misc,Ubisoft,0.15,0.11,0,0.03,0.29,,,,,,
Battle & Get! Pokemon Typing DS,DS,2011,Misc,Nintendo,0,0,0.29,0,0.29,,,,,,
"Barbie: Jet, Set & Style!",Wii,2011,Misc,THQ,0.22,0.01,0,0.02,0.25,,,,,,
Loving Life with Hello Kitty & Friends,DS,2011,Misc,Rising Star Games,0.13,0.07,0,0.02,0.23,,,,,,
Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Misc,Konami Digital Entertainment,0.14,0.06,0,0.02,0.22,,,,,,
Yoostar2,X360,2011,Misc,Unknown,0.11,0.09,0,0.02,0.21,,,,,,
Now! That's What I Call Music: Dance & Sing,Wii,2011,Misc,Unknown,0,0.17,0,0.04,0.21,,,,,,
SingStar: Back to the 80s,PS3,2011,Misc,Sony Computer Entertainment,0,0.16,0,0.04,0.2,,,,,,
Just Dance 2: Extra Songs,Wii,2011,Misc,Ubisoft,0,0.17,0,0.03,0.2,,,,,,
Pac-Man & Galaga Dimensions,3DS,2011,Misc,Namco Bandai Games,0.1,0.04,0.04,0.01,0.19,,,,,,
Michael Jackson: The Experience 3D,3DS,2011,Misc,Ubisoft,0.13,0.03,0,0.01,0.17,,,,,,
The Idolm@ster 2,PS3,2011,Misc,Namco Bandai Games,0,0,0.16,0,0.16,,,,,,
Kids Learn Math: A+ Edition,DS,2011,Misc,Unknown,0.14,0,0,0.01,0.15,,,,,,
Tamagotchi Collection,DS,2011,Misc,Namco Bandai Games,0,0,0.15,0,0.15,,,,,,
Let's Cheer,X360,2011,Misc,Take-Two Interactive,0.12,0,0,0.01,0.14,,,,,,
Suite PreCure: Melody Collection,DS,2011,Misc,Namco Bandai Games,0,0,0.13,0,0.13,,,,,,
Zoobles! Spring to Life!,DS,2011,Misc,Activision,0.1,0.02,0,0.01,0.13,,,,,,
Petz Puppyz & Kittenz,DS,2011,Misc,Ubisoft,0.11,0,0,0.01,0.12,,,,,,
"Sesame Street: Ready, Set, Grover!",Wii,2011,Misc,Warner Bros. Interactive Entertainment,0.1,0,0,0.01,0.1,,,,,,
Uta no Prince-Sama: Music,PSP,2011,Misc,Broccoli,0,0,0.1,0,0.1,,,,,,
Start the Party! Save the World,PS3,2011,Misc,Sony Computer Entertainment,0,0.08,0,0.02,0.1,,,,,,
Who Wants to Be A Millionaire?,X360,2011,Misc,Ubisoft,0.09,0,0,0.01,0.1,,,,,,
National Geographic Challenge!,Wii,2011,Misc,Black Bean Games,0.07,0.02,0,0.01,0.09,,,,,,
The $1 Pyramid,Wii,2011,Misc,Ubisoft,0.07,0,0,0.01,0.08,,,,,,
